id;name;position;age;height
1;Ter Stegen;goalkeeper;26;187
2;Jasper Cillessen;goalkeeper;29;185
3;Nelson Cabral Semedo;defense;25;177
4;Gerard Pique;defense;31;194
5;Ivan Rakitic;midfield;30;184
6;Sergio Busquets;midfield;30;189
7;Denis Suarez;midfield;24;176
8;Philippe Coutinho Correia;midfield;26;172
9;Luis Suarez;forward;31;182
10;Lionel Messi;forward;31;170
11;Ousmane Dembele;forward;21;178
12;Rafael Alcantara do Nascimento;midfield;25;176
13;Jordi Alba;midfield;29;170
14;Thomas Vermaelen;defense;33;183
15;Keylor Navas;goalkeeper;31;185
16;Francisco Casilla Cortes;goalkeeper;32;190
17;Daniel Carvajal Ramos;defense;26;173
18;Sergio Ramos Garcia;defense;32;184
19;Jose Ignacio Fernandez Iglesias;defense;28;180
20;Marcelo Vieira da Silva;defense;30;174
21;Toni Kroos;midfield;28;183
22;Luka Modric;midfield;33;172
23;Carlos Henrique Casimiro;midfield;26;185
24;Federico Santiago Valverde Dipetta;midfield;20;182
25;Marco Asensio Willemsen;midfield;22;182
26;Marcos Llorente Moreno;midfield;23;184
27;Francisco Roman Alarcon Suarez;midfield;26;176
28;Karim Benzema;forward;30;185
29;Gareth Bale;forward;29;185
30;Lucas Vazquez Iglesias;forward;27;173
31;Jaume Domenech;goalkeeper;28;187
32;Norberto Murara Neto;goalkeeper;29;191
33;Ruben Miguel Nunes Vezo;defense;24;184
34;Jeison Murillo;defense;26;182
35;Gabriel Armando de Abreu;defense;28;187
36;Mouctar Diakhaby;defense;21;192
37;Geoffrey Kondogbia;midfield;25;188
38;Gonzalo Guedes;midfield;21;179
39;Carlos Soler;midfield;21;180
40;Daniel Parejo;midfield;29;182
41;Kevin Gameiro;forward;31;172
42;Rodrigo Moreno;forward;27;180
43;Santiago Mina Lorenzo;forward;22;181
44;Michy Batshuayi;forward;25;185
45;Tomas Vaclik;goalkeeper;29;188
46;Juan Soriano;goalkeeper;21;195
47;Gabriel Mercado;defense;31;180
48;Sergio Escudero;defense;29;176
49;Simon Kjaer;defense;29;191
50;Guilherme Arana;defense;21;176
51;Sergi Gomez;defense;26;185
52;Pablo Sarabia;midfield;26;178
53;Franco Vazquez;midfield;29;187
54;Jesus Navas;midfield;32;172
55;Ibrahim Amadou;midfield;25;183
56;Manuel Agudo Duran;forward;32;175
57;Wissam Ben Yedder;forward;28;170
58;Andre Silva;forward;23;184
59;Quincy Promes;forward;26;174
